DAT Export 	 data_sample.sac 
 Date & Time 	 01-Dec-2010 07:32:15 
 Nb Cycles 	 15 
 First mass 	 5.000000e-01 
 Scan Width 	 128 
 Value/Mass 	 64 
 u Start 	 5.000000e-01 
 u End 	 1.285000e+02 
 	 1 
 	 2 
 	 3 
 	 4 
 	 5 
 	 6 
 	 7 
 	 8 
 	 9 
 	 10 
 	 11 
 	 12 
 	 13 
 	 14 
 	 15 	 0 	 66 	 133 	 200 	 267 	 334 	 402 	 469 	 536 	 604 	 671 	 738 	 805 	 872 	 939 
 	 0.500000 
 	 0.515625 
 	 0.531250 
 	 0.546875 
 	 0.562500 
 	 0.578125 
 	 0.593750 
 	 0.609375 
 	 0.625000 
 	 0.640625 
 	 0.656250 
 	 0.671875 
 	 0.687500 
 	 0.703125 
 	 0.718750 
 	 0.734375 
 	 0.750000 
 	 0.765625 
 	 0.781250 
 	 0.796875 
 	 0.812500 
 	 0.828125 
 	 0.843750 
 	 0.859375 
 	 0.875000 
 	 0.890625 
 	 0.906250 
 	 0.921875 
 	 0.937500 
 	 0.953125 
 	 0.968750 
 	 0.984375 
 	 1.000000 
 	 1.015625 
 	 1.031250 
 	 1.046875 
 	 1.062500 
 	 1.078125 
 	 1.093750 
 	 1.109375 
 	 1.125000 
 	 1.140625 
 	 1.156250 
 	 1.171875 
 	 1.187500 
 	 1.203125 
 	 1.218750 
 	 1.234375 
 	 1.250000 
 	 1.265625 
 	 1.281250 
 	 1.296875 
 	 1.312500 
 	 1.328125 
 	 1.343750 
 	 1.359375 
 	 1.375000 
 	 1.390625 
 	 1.406250 
 	 1.421875 
 	 1.437500 
 	 1.453125 
 	 1.468750 
 	 1.484375 
 	 1.500000 
 	 1.515625 
 	 1.531250 
 	 1.546875 
 	 1.562500 
 	 1.578125 
 	 1.593750 
 	 1.609375 
 	 1.625000 
 	 1.640625 
 	 1.656250 
 	 1.671875 
 	 1.687500 
 	 1.703125 
 	 1.718750 
 	 1.734375 
 	 1.750000 
 	 1.765625 
 	 1.781250 
 	 1.796875 
 	 1.812500 
 	 1.828125 
 	 1.843750 
 	 1.859375 
 	 1.875000 
 	 1.890625 
 	 1.906250 
 	 1.921875 
 	 1.937500 
 	 1.953125 
 	 1.968750 
 	 1.984375 
 	 2.000000 
 	 2.015625 
 	 2.031250 
 	 2.046875 
 	 2.062500 
 	 2.078125 
 	 2.093750 
 	 2.109375 
 	 2.125000 
 	 2.140625 
 	 2.156250 
 	 2.171875 
 	 2.187500 
 	 2.203125 
 	 2.218750 
 	 2.234375 
 	 2.250000 
 	 2.265625 
 	 2.281250 
 	 2.296875 
 	 2.312500 
 	 2.328125 
 	 2.343750 
 	 2.359375 
 	 2.375000 
 	 2.390625 
 	 2.406250 
 	 2.421875 
 	 2.437500 
 	 2.453125 
 	 2.468750 
 	 2.484375 
 	 2.500000 
 	 2.515625 
 	 2.531250 
 	 2.546875 
 	 2.562500 
 	 2.578125 
 	 2.593750 
 	 2.609375 
 	 2.625000 
 	 2.640625 
 	 2.656250 
 	 2.671875 
 	 2.687500 
 	 2.703125 
 	 2.718750 
 	 2.734375 
 	 2.750000 
 	 2.765625 
 	 2.781250 
 	 2.796875 
 	 2.812500 
 	 2.828125 
 	 2.843750 
 	 2.859375 
 	 2.875000 
 	 2.890625 
 	 2.906250 
 	 2.921875 
 	 2.937500 
 	 2.953125 
 	 2.968750 
 	 2.984375 
 	 3.000000 
 	 3.015625 
 	 3.031250 
 	 3.046875 
 	 3.062500 
 	 3.078125 
 	 3.093750 
 	 3.109375 
 	 3.125000 
 	 3.140625 
 	 3.156250 
 	 3.171875 
 	 3.187500 
 	 3.203125 
 	 3.218750 
 	 3.234375 
 	 3.250000 
 	 3.265625 
 	 3.281250 
 	 3.296875 
 	 3.312500 
 	 3.328125 
 	 3.343750 
 	 3.359375 
 	 3.375000 
 	 3.390625 
 	 3.406250 
 	 3.421875 
 	 3.437500 
 	 3.453125 
 	 3.468750 
 	 3.484375 
 	 3.500000 
 	 3.515625 
 	 3.531250 
 	 3.546875 
 	 3.562500 
 	 3.578125 
 	 3.593750 
 	 3.609375 
 	 3.625000 
 	 3.640625 
 	 3.656250 
 	 3.671875 
 	 3.687500 
 	 3.703125 
 	 3.718750 
 	 3.734375 
 	 3.750000 
 	 3.765625 
 	 3.781250 
 	 3.796875 
 	 3.812500 
 	 3.828125 
 	 3.843750 
 	 3.859375 
 	 3.875000 
 	 3.890625 
 	 3.906250 
 	 3.921875 
 	 3.937500 
 	 3.953125 
 	 3.968750 
 	 3.984375 
 	 4.000000 
 	 4.015625 
 	 4.031250 
 	 4.046875 
 	 4.062500 
 	 4.078125 
 	 4.093750 
 	 4.109375 
 	 4.125000 
 	 4.140625 
 	 4.156250 
 	 4.171875 
 	 4.187500 
 	 4.203125 
 	 4.218750 
 	 4.234375 
 	 4.250000 
 	 4.265625 
 	 4.281250 
 	 4.296875 
 	 4.312500 
 	 4.328125 
 	 4.343750 
 	 4.359375 
 	 4.375000 
 	 4.390625 
 	 4.406250 
 	 4.421875 
 	 4.437500 
 	 4.453125 
 	 4.468750 
 	 4.484375 
 	 4.500000 
 	 4.515625 
 	 4.531250 
 	 4.546875 
 	 4.562500 
 	 4.578125 
 	 4.593750 
 	 4.609375 
 	 4.625000 
 	 4.640625 
 	 4.656250 
 	 4.671875 
 	 4.687500 
 	 4.703125 
 	 4.718750 
 	 4.734375 
 	 4.750000 
 	 4.765625 
 	 4.781250 
 	 4.796875 
 	 4.812500 
 	 4.828125 
 	 4.843750 
 	 4.859375 
 	 4.875000 
 	 4.890625 
 	 4.906250 
 	 4.921875 
 	 4.937500 
 	 4.953125 
 	 4.968750 
 	 4.984375 
 	 5.000000 
 	 5.015625 
 	 5.031250 
